Roll Call,Majority,Congress Num,Legislation Number,Date,Time,Question,Description,Result,Republican Yes,Republican No,Republican Present,Republican Not Voting,Democrat Yes,Democrat No,Democrat Present,Democrat Not Voting,Independent Yes,Independent No,Independent Present,Independent Not Voting,Total Yes,Total No,Total Present,Total Not Voting
176,R,108,H RES 213,8-May-2003,3:30 PM,On Motion to Suspend the Rules and Agree,Expressing the Sense of the House of Representatives that Public Service Employees Should be Commended for their Dedication and Service to the Nation during Public Service Recognition Week,Passed,218,0,0,10,199,0,0,6,1,0,0,0,418,0,0,16
177,R,108,JOURNAL,9-May-2003,9:39 AM,On Approving the Journal,None,Passed,185,13,0,30,126,59,0,20,0,0,0,1,311,72,0,51
178,R,108,H RES 227,9-May-2003,11:13 AM,On Ordering the Previous Question,"Providing for the Consideration of H.R. 2, to Amend the Internal Revenue Code of 1986 to Provide Additional Tax Incentives to Encourage Economic Growth",Passed,219,0,0,9,0,202,0,3,0,1,0,0,219,203,0,12
179,R,108,H RES 227,9-May-2003,11:21 AM,On Agreeing to the Resolution,"Providing for the Consideration of H.R. 2, to Amend the Internal Revenue Code of 1986 to Provide Additional Tax Incentives to Encourage Economic Growth",Passed,220,0,0,8,0,202,0,3,0,1,0,0,220,203,0,11
180,R,108,H R 2,9-May-2003,1:51 PM,Table Appeal from the Ruling of the Chair,Jobs and Growth Reconciliation Tax Act,Passed,222,0,0,7,0,201,0,4,0,1,0,0,222,202,0,11
181,R,108,H R 2,9-May-2003,2:15 PM,On Motion to Recommit with Instructions,Jobs and Growth Reconciliation Tax Act,Failed,0,217,0,12,201,1,0,3,1,0,0,0,202,218,0,15
182,R,108,H R 2,9-May-2003,2:31 PM,On Passage,Jobs and Growth Reconciliation Tax Act,Passed,218,3,0,8,4,199,0,2,0,1,0,0,222,203,0,10
183,R,108,H R 281,13-May-2003,6:53 PM,On Motion to Suspend the Rules and Pass,Tony Hall Federal Building and United States Courthouse,Passed,214,0,0,14,192,0,0,13,1,0,0,0,407,0,0,27
184,R,108,H CON RES 160,13-May-2003,7:02 PM,"On Motion to Suspend the Rules and Agree, as Amended",Expressing the sense of Congress that the United Nations should remove the economic sanctions against Iraq completely and without condition.,Passed,215,0,0,13,193,0,0,12,1,0,0,0,409,0,0,25
185,R,108,H RES 222,13-May-2003,7:21 PM,On Motion to Suspend the Rules and Agree,Commending those individuals who contributed to the debris collection effort following the Space Shuttle Columbia accident. 0,Passed,217,0,0,11,193,0,0,12,1,0,0,0,411,0,0,23
186,R,108,H RES 230,14-May-2003,12:57 PM,On Ordering the Previous Question,"Providing for the Consideration of H.R. 1000, Pension Security Act",Passed,218,0,0,10,0,200,0,5,0,1,0,0,218,201,0,15
187,R,108,H R 1000,14-May-2003,3:42 PM,On Agreeing to the Amendment,None,Failed,4,220,0,4,188,16,0,1,1,0,0,0,193,236,0,5
188,R,108,H R 1000,14-May-2003,4:12 PM,On Motion to Recommit with Instructions,Pension Security Act,Failed,4,221,0,3,197,5,0,3,1,0,0,0,202,226,0,6
189,R,108,H R 1000,14-May-2003,4:19 PM,On Passage,Pension Security Act,Passed,222,1,0,5,49,155,0,1,0,1,0,0,271,157,0,6
